team,game_type,playerId,headshot,firstName,lastName,positionCode,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
CAR,3,8476873,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png,{'default': 'Mark'},{'default': 'Jankowski'},L,13,0,4,4,3,12,0,0,0,0,11,0.0,724.7692,19.6923,0.47973
CAR,3,8476906,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476906.png,{'default': 'Shayne'},{'default': 'Gostisbehere'},D,13,2,4,6,4,14,1,0,0,0,20,0.1,1133.0,22.6923,0.0
CAR,3,8476921,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476921.png,{'default': 'Jordan'},{'default': 'Martinook'},L,13,1,2,3,0,10,0,0,1,1,27,0.037037,964.6923,24.9231,0.2
CAR,3,8476958,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476958.png,{'default': 'Jaccob'},{'default': 'Slavin'},D,13,0,2,2,0,0,0,0,0,0,19,0.0,1393.3077,28.9231,0.0
CAR,3,8477478,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png,{'default': 'William'},{'default': 'Carrier'},L,13,0,3,3,4,0,0,0,0,0,12,0.0,624.2308,17.4615,0.5
CAR,3,8477940,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png,{'default': 'Nikolaj'},{'default': 'Ehlers'},L,12,4,5,9,3,2,1,0,1,1,25,0.16,1142.9167,24.75,0.25
CAR,3,8478427,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478427.png,{'default': 'Sebastian'},{'default': 'Aho'},C,13,4,3,7,3,10,1,0,2,0,26,0.153846,1264.5385,26.6923,0.465116
CAR,3,8478970,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478970.png,{'default': 'Jalen'},{'default': 'Chatfield'},D,13,1,4,5,2,10,0,1,1,0,23,0.043478,1332.3846,29.0769,0.0
CAR,3,8480336,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480336.png,{'default': 'Sean'},{'default': 'Walker'},D,13,0,2,2,13,16,0,0,0,0,21,0.0,1323.8462,29.3077,0.0
CAR,3,8480762,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480762.png,{'default': 'Eric'},{'default': 'Robinson'},L,13,3,3,6,5,14,0,0,0,0,20,0.15,628.9231,17.0,0.0
CAR,3,8480817,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480817.png,"{'default': ""K'Andre""}",{'default': 'Miller'},D,13,0,8,8,14,4,0,0,0,0,15,0.0,1435.3846,30.0769,0.0
CAR,3,8480830,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480830.png,"{'default': 'Andrei', 'cs': 'Andrej', 'sk': 'Andrej'}","{'default': 'Svechnikov', 'cs': 'Svečnikov', 'fi': 'Svetshnikov', 'sk': 'Svečnikov'}",R,13,3,4,7,0,24,1,0,1,1,43,0.069767,1081.2308,23.1538,0.0
CAR,3,8482093,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482093.png,{'default': 'Seth'},{'default': 'Jarvis'},R,13,3,5,8,3,2,0,0,0,0,33,0.090909,1210.2308,26.4615,0.0
CAR,3,8482100,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482100.png,{'default': 'Alexander'},{'default': 'Nikishin'},D,11,0,1,1,2,2,0,0,0,0,8,0.0,915.1818,20.9091,0.0
CAR,3,8482702,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482702.png,{'default': 'Logan'},{'default': 'Stankoven'},C,13,9,3,12,8,6,2,0,3,0,46,0.195652,1013.0769,21.6154,0.462069
CAR,3,8482809,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png,{'default': 'Jackson'},{'default': 'Blake'},R,13,5,10,15,8,18,0,0,2,1,31,0.16129,1094.8462,22.1538,0.0
