event_id,market_provider,market_details,home_odds,away_odds,home_decimal_odds,away_decimal_odds,home_raw_implied_prob,away_raw_implied_prob,market_home_no_vig_prob,market_away_no_vig_prob,market_spread,market_over_under,home_spread_odds,away_spread_odds
401810151,DraftKings,MIA -3.5,-166,140,1.6024096385542168,2.4,0.6240601503759399,0.4166666666666667,0.5996387718242023,0.40036122817579767,-3.5,239.5,-112,-108
401810152,DraftKings,MIL -11.5,-575,425,1.1739130434782608,5.25,0.8518518518518519,0.19047619047619047,0.817258883248731,0.18274111675126903,-11.5,218.5,-108,-112
401810153,DraftKings,GS -9.5,-425,330,1.2352941176470589,4.3,0.8095238095238095,0.23255813953488372,0.7768331562167907,0.22316684378320928,-9.5,228.5,-112,-108
401810154,DraftKings,DEN -3.5,142,-170,2.42,1.5882352941176472,0.4132231404958678,0.6296296296296297,0.3962430290578221,0.603756970942178,3.5,233.5,-105,-115
401810155,DraftKings,LAC -9.5,-380,300,1.263157894736842,4.0,0.7916666666666666,0.25,0.7600000000000001,0.23999999999999988,-9.5,224.5,100,-120
401810156,DraftKings,HOU -11.5,425,-575,5.25,1.1739130434782608,0.19047619047619047,0.8518518518518519,0.18274111675126903,0.817258883248731,11.5,233.5,-112,-108
401810157,DraftKings,CLE -7.5,-285,230,1.3508771929824561,3.3,0.7402597402597403,0.30303030303030304,0.7095435684647302,0.2904564315352698,-7.5,234.5,-108,-112
401810158,DraftKings,NY -8.5,-345,275,1.289855072463768,3.75,0.7752808988764045,0.26666666666666666,0.7440690150970525,0.2559309849029475,-8.5,229.5,-112,-108
401810159,DraftKings,PHI -2.5,-142,120,1.704225352112676,2.2,0.5867768595041323,0.45454545454545453,0.5634920634920635,0.4365079365079365,-2.5,232.5,-110,-110
401810160,DraftKings,OKC -11.5,490,-675,5.9,1.1481481481481481,0.1694915254237288,0.8709677419354839,0.16290068313189698,0.837099316868103,11.5,234.5,-110,-110
401810161,DraftKings,MIN -4.5,-185,154,1.5405405405405406,2.54,0.6491228070175439,0.3937007874015748,0.6224665518611737,0.3775334481388263,-4.5,233.5,-110,-110
401810162,DraftKings,MEM -3.5,124,-148,2.24,1.6756756756756757,0.44642857142857145,0.5967741935483871,0.42794036443953615,0.5720596355604639,3.5,233.5,-118,-102
401810163,DraftKings,LAL -15.5,-1450,850,1.0689655172413792,9.5,0.9354838709677419,0.10526315789473684,0.8988580750407831,0.10114192495921692,-15.5,228.5,-115,-105
401810164,DraftKings,DET -9.5,-410,320,1.2439024390243902,4.2,0.803921568627451,0.23809523809523808,0.771505376344086,0.228494623655914,-9.5,232.5,-105,-115
401810165,DraftKings,CLE -4.5,160,-192,2.6,1.5208333333333335,0.38461538461538464,0.6575342465753424,0.3690596562184025,0.6309403437815975,4.5,230.5,-110,-110
401810166,DraftKings,MIL -10.5,330,-425,4.3,1.2352941176470589,0.23255813953488372,0.8095238095238095,0.22316684378320936,0.7768331562167906,10.5,232.5,-110,-110
401810167,DraftKings,CHA -4.5,154,-185,2.54,1.5405405405405406,0.3937007874015748,0.6491228070175439,0.3775334481388264,0.6224665518611736,4.5,227.5,-108,-112
401810168,DraftKings,MIA -6.5,-245,200,1.4081632653061225,3.0,0.7101449275362319,0.3333333333333333,0.6805555555555556,0.3194444444444444,-6.5,235.5,-102,-118
401810169,DraftKings,ORL -9.5,-380,300,1.263157894736842,4.0,0.7916666666666666,0.25,0.7600000000000001,0.23999999999999988,-9.5,239.5,-110,-110
401810170,DraftKings,DEN -11.5,-550,410,1.1818181818181819,5.1,0.8461538461538461,0.19607843137254902,0.8118668596237336,0.18813314037626638,-11.5,235.5,-105,-115
401810171,DraftKings,HOU -11.5,400,-535,5.0,1.1869158878504673,0.2,0.84251968503937,0.19184290030211482,0.8081570996978852,11.5,235.5,-115,-105
401810172,DraftKings,LAL -5.5,-225,185,1.4444444444444444,2.85,0.6923076923076923,0.3508771929824561,0.6636481241914618,0.3363518758085382,-5.5,231.5,-108,-112
401810173,DraftKings,PHI -13.5,-800,550,1.125,6.5,0.8888888888888888,0.15384615384615385,0.8524590163934427,0.14754098360655732,-13.5,234.5,-105,-115
401810174,DraftKings,TOR -4.5,-198,164,1.5050505050505052,2.6399999999999997,0.6644295302013423,0.3787878787878788,0.6369041816941223,0.36309581830587767,-4.5,230.5,-115,-105
401810175,DraftKings,NY -1.5,-105,-115,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302325,0.4891657638136511,0.5108342361863489,1.5,230.5,-115,-105
401810176,DraftKings,MIN -12.5,490,-675,5.9,1.1481481481481481,0.1694915254237288,0.8709677419354839,0.16290068313189698,0.837099316868103,12.5,229.5,-112,-108
401810177,DraftKings,SA -5.5,-205,170,1.4878048780487805,2.7,0.6721311475409836,0.37037037037037035,0.644729178800233,0.35527082119976705,-5.5,232.5,-102,-118
401810178,DraftKings,OKC -11.5,410,-550,5.1,1.1818181818181819,0.19607843137254902,0.8461538461538461,0.18813314037626627,0.8118668596237337,11.5,223.5,-110,-110
401810179,DraftKings,CLE -10.5,-485,370,1.2061855670103092,4.7,0.8290598290598291,0.2127659574468085,0.7957758771164253,0.20422412288357472,-10.5,244.5,-102,-118
401810180,DraftKings,DEN -8.5,250,-310,3.5,1.3225806451612903,0.2857142857142857,0.7560975609756098,0.27424749163879597,0.725752508361204,8.5,238.5,-115,-105
401810181,DraftKings,ORL -8.5,-360,285,1.2777777777777777,3.85,0.782608695652174,0.2597402597402597,0.7508125677139762,0.2491874322860238,-8.5,235.5,-110,-110
401810182,DraftKings,ATL -1.5,-125,105,1.8,2.05,0.5555555555555556,0.4878048780487805,0.5324675324675325,0.46753246753246747,-1.5,226.5,-110,-110
401810183,DraftKings,NY -9.5,-395,310,1.2531645569620253,4.1,0.797979797979798,0.24390243902439024,0.7659021045164341,0.23409789548356585,-9.5,235.5,-102,-118
401810184,DraftKings,CHI -7.5,-325,260,1.3076923076923077,3.6,0.7647058823529411,0.2777777777777778,0.7335423197492164,0.26645768025078365,-7.5,231.5,-112,-108
401810185,DraftKings,HOU -15.5,-1350,800,1.074074074074074,9.0,0.9310344827586207,0.1111111111111111,0.8933823529411765,0.10661764705882348,-15.5,231.5,-110,-110
401810186,DraftKings,DET -4.5,160,-192,2.6,1.5208333333333335,0.38461538461538464,0.6575342465753424,0.3690596562184025,0.6309403437815975,4.5,228.5,-108,-112
401810187,DraftKings,MIA -4.5,154,-185,2.54,1.5405405405405406,0.3937007874015748,0.6491228070175439,0.3775334481388264,0.6224665518611736,4.5,238.5,-108,-112
401810188,DraftKings,PHI -4.5,-175,145,1.5714285714285714,2.45,0.6363636363636364,0.40816326530612246,0.6092362344582594,0.39076376554174064,-4.5,224.5,-105,-115
401810189,DraftKings,BOS -10.5,370,-485,4.7,1.2061855670103092,0.2127659574468085,0.8290598290598291,0.2042241228835748,0.7957758771164252,10.5,231.5,-105,-115
