source_report,game_type,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
nhl_skater_summary,2,63,25,59,0.47651,6,74,27,Eichel,3,18,8478403,23,90,1.21621,C,1,28,20252026,1,3,0.10384,R,260,Jack Eichel,VGK,1272.054
nhl_skater_summary,2,56,19,55,0.40322,2,81,24,Marner,0,24,8478483,17,80,0.98765,R,5,24,20252026,0,1,0.14545,R,165,Mitch Marner,VGK,1197.4567
nhl_skater_summary,2,13,3,16,,0,78,3,Korczak,0,26,8481527,6,16,0.20512,D,0,0,20252026,0,0,0.05,R,60,Kaedan Korczak,VGK,958.0897
nhl_skater_summary,2,17,9,26,0.43835,3,77,12,Martinook,0,35,8476921,6,29,0.37662,L,0,0,20252026,3,3,0.11009,L,109,Jordan Martinook,CAR,890.1558
nhl_skater_summary,3,5,3,6,0.25,1,12,4,Ehlers,1,2,8477940,3,9,0.75,L,1,3,20252026,0,0,0.16,L,25,Nikolaj Ehlers,CAR,1142.9166
nhl_skater_summary,3,11,5,14,0.3,1,13,5,Hall,1,12,8475791,11,16,1.23076,L,0,2,20252026,0,0,0.13513,L,37,Taylor Hall,CAR,982.3076
nhl_skater_summary,3,1,0,1,,0,7,0,Hutton,0,4,8477018,1,1,0.14285,D,0,0,20252026,0,0,0.0,L,8,Ben Hutton,VGK,795.7142
nhl_skater_summary,3,0,1,1,0.28571,0,16,1,Kolesar,0,6,8478434,-2,1,0.0625,R,0,0,20252026,0,0,0.0909,R,11,Keegan Kolesar,VGK,627.375
nhl_skater_summary,3,2,0,2,0.0,0,6,0,Smith,0,2,8475191,-3,2,0.33333,R,0,0,20252026,0,0,0.0,L,10,Reilly Smith,VGK,779.8333
nhl_skater_summary,3,4,1,5,0.53642,0,10,1,Karlsson,0,4,8476448,5,5,0.5,C,0,0,20252026,0,0,0.0625,L,16,William Karlsson,VGK,1026.4
nhl_skater_summary,3,7,3,8,,1,16,4,Theodore,1,6,8477447,8,11,0.6875,D,1,3,20252026,0,0,0.12903,L,31,Shea Theodore,VGK,1529.0625
nhl_skater_summary,3,1,3,4,0.51776,1,16,3,Dowd,0,6,8475343,-2,4,0.25,C,0,0,20252026,0,0,0.15,R,20,Nic Dowd,VGK,805.8125
