game_date,away_team,home_team,away_score,home_score,bet_side,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after,skip_reason
2026-04-06,SEA,WPG,2,6,skip,,142.0,2.42,0.4175736522005852,0.3957244239362169,0.4132231404958678,0.004350511704717397,0.021849228264368303,0.6042755760637831,0.0,0.0,0.0,,0.0,1032.402423265764,below_min_edge
2026-04-07,NSH,ANA,5,0,away,NSH,129.0,2.29,0.5002374265890484,0.4174548300828388,0.4366812227074236,0.06355620388162475,0.08278259650620956,0.5825451699171612,0.11282457898365947,0.05,51.620121163288196,True,66.58995630064177,1098.9923795664056,
2026-04-07,BOS,CAR,5,6,skip,,156.0,2.56,0.4139658106453591,0.3735188047398248,0.390625,0.02334081064535909,0.040447005905534295,0.6264811952601752,0.0,0.0,0.0,,0.0,1098.9923795664056,below_min_edge
2026-04-07,CGY,DAL,3,4,home,DAL,-260.0,1.3846153846153846,0.7683673004467895,0.68986905582357,0.7222222222222222,0.04614507822456726,0.07849824462321942,0.68986905582357,0.16612228160844203,0.05,54.94961897832028,True,21.13446883781549,1120.1268484042212,
2026-04-07,SEA,MIN,2,5,home,MIN,-265.0,1.3773584905660377,0.7720152025583547,0.6930580666862884,0.726027397260274,0.045987805298080664,0.07895713587206621,0.6930580666862884,0.16785548933799432,0.05,56.00634242021106,True,21.13446883781549,1141.2613172420367,
2026-04-07,FLA,MTL,3,4,skip,,-289.0,1.3460207612456747,0.7591941408349179,0.7096603249714512,0.7429305912596401,0.016263549575277758,0.049533815863466724,0.7096603249714512,0.0,0.0,0.0,,0.0,1141.2613172420367,below_min_edge
2026-04-07,TBL,OTT,2,6,skip,,117.0,2.17,0.4731738794688095,0.4406091741777428,0.4608294930875576,0.012344386381251904,0.0325647052910667,0.5593908258222572,0.0,0.0,0.0,,0.0,1141.2613172420367,below_min_edge
2026-04-07,COL,STL,3,1,skip,,132.0,2.3200000000000003,0.45248320757596405,0.412499203669491,0.43103448275862066,0.02144872481734339,0.03998400390647305,0.412499203669491,0.0,0.0,0.0,,0.0,1141.2613172420367,below_min_edge
2026-04-07,EDM,UTA,5,6,away,EDM,116.0,2.16,0.5430273489257856,0.4454847478103292,0.46296296296296297,0.08006438596282267,0.09754260111545643,0.5545152521896708,0.14908540834456643,0.05,57.06306586210184,False,-57.06306586210184,1084.1982513799348,
2026-04-07,VGK,VAN,2,1,skip,,,,,,,,,0.30807094967325804,0.0,0.0,0.0,,0.0,1084.1982513799348,no_positive_kelly
2026-04-08,BUF,NYR,5,3,skip,,115.0,2.15,0.4844600428956065,0.4458658639826921,0.46511627906976744,0.019343763825839078,0.03859417891291439,0.4458658639826921,0.0,0.0,0.0,,0.0,1084.1982513799348,below_min_edge
2026-04-08,EDM,SJS,5,2,skip,,-112.0,1.8928571428571428,0.5388850712292164,0.502134927412468,0.5283018867924528,0.010583184436763537,0.03675014381674835,0.49786507258753204,0.0,0.0,0.0,,0.0,1084.1982513799348,below_min_edge
