game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2022-10-30,VGK,WPG,-203,167,2,1,1,20222023,Vegas Golden Knights lowest moneyline 2022-23,statmuse,0.66996699669967,0.37453183520599254,0.6414243618418717,1.4926108374384237,2.67
2022-10-31,BUF,DET,-156,132,8,3,1,20222023,Buffalo Sabres lowest moneyline 2022-23,statmuse,0.609375,0.43103448275862066,0.5857068876229934,1.641025641025641,2.3200000000000003
2022-10-31,CAR,WSH,-205,170,3,2,1,20222023,Washington Capitals highest moneyline 2022-23,statmuse,0.6721311475409836,0.37037037037037035,0.644729178800233,1.4878048780487805,2.7
2022-10-31,STL,LAK,-126,105,1,5,0,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.5575221238938053,0.4878048780487805,0.533347098905637,1.7936507936507935,2.05
2022-11-01,ARI,FLA,244,-306,3,1,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.29069767441860467,0.7536945812807881,0.27834146876542537,3.44,1.326797385620915
2022-11-01,CGY,SEA,-229,189,4,5,0,20222023,Calgary Flames lowest moneyline 2022-23,statmuse,0.6960486322188449,0.3460207612456747,0.6679484462207688,1.4366812227074237,2.8899999999999997
2022-11-01,CHI,NYI,166,-200,1,3,0,20222023,Chicago Blackhawks lowest moneyline 2022-23,statmuse,0.37593984962406013,0.6666666666666666,0.3605769230769231,2.66,1.5
2022-11-01,EDM,NSH,-178,148,7,4,1,20222023,Nashville Predators highest moneyline 2022-23,statmuse,0.6402877697841727,0.4032258064516129,0.6135883464917158,1.5617977528089888,2.48
2022-11-01,MIN,MTL,-250,204,4,1,1,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.7142857142857143,0.32894736842105265,0.6846846846846846,1.4,3.04
2022-11-01,NYR,PHI,-267,215,1,0,1,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.7275204359673024,0.31746031746031744,0.6962046272919167,1.3745318352059925,3.15
2022-11-01,PIT,BOS,-121,101,5,6,0,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.5475113122171946,0.4975124378109453,0.5239223627237674,1.8264462809917354,2.01
2022-11-01,SJS,ANA,-132,111,5,6,0,20222023,Anaheim Ducks lowest moneyline 2022-23,statmuse,0.5689655172413793,0.47393364928909953,0.5455613883883099,1.7575757575757576,2.1100000000000003
2022-11-01,TBL,OTT,-194,161,4,3,1,20222023,Ottawa Senators highest moneyline 2022-23,statmuse,0.6598639455782312,0.3831417624521073,0.6326561211485119,1.5154639175257731,2.6100000000000003
2022-11-01,WSH,VGK,139,-169,2,3,0,20222023,Washington Capitals highest moneyline 2022-23,statmuse,0.41841004184100417,0.6282527881040892,0.39975628241518174,2.3899999999999997,1.5917159763313609
2022-11-02,TOR,PHI,-332,263,5,2,1,20222023,Philadelphia Flyers highest moneyline 2022-23,statmuse,0.7685185185185185,0.27548209366391185,0.7361284175034817,1.3012048192771084,3.63
2022-11-03,ARI,DAL,187,-227,2,7,0,20222023,Dallas Stars lowest moneyline 2022-23,statmuse,0.34843205574912894,0.6941896024464832,0.33418839231877684,2.87,1.4405286343612334
2022-11-03,CGY,NSH,-257,209,1,4,0,20222023,Calgary Flames lowest moneyline 2022-23,statmuse,0.7198879551820728,0.32362459546925565,0.6898699538714133,1.3891050583657587,3.09
2022-11-03,CHI,LAK,150,-180,2,1,1,20222023,Chicago Blackhawks lowest moneyline 2022-23,statmuse,0.4,0.6428571428571429,0.3835616438356164,2.5,1.5555555555555556
2022-11-03,DET,WSH,104,-124,3,1,1,20222023,Detroit Red Wings lowest moneyline 2022-23,statmuse,0.49019607843137253,0.5535714285714286,0.46964106004696404,2.04,1.8064516129032258
2022-11-03,EDM,NJD,-161,136,3,4,0,20222023,New Jersey Devils highest moneyline 2022-23,statmuse,0.6168582375478927,0.423728813559322,0.5927983025461807,1.62111801242236,2.3600000000000003
2022-11-03,MIN,SEA,-174,145,0,4,0,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.635036496350365,0.40816326530612246,0.6087391118092246,1.5747126436781609,2.45
2022-11-03,NYR,BOS,-133,111,2,5,0,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.5708154506437768,0.47393364928909953,0.5463660611724392,1.7518796992481203,2.1100000000000003
2022-11-03,SJS,FLA,170,-205,3,4,0,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.37037037037037035,0.6721311475409836,0.35527082119976705,2.7,1.4878048780487805
2022-11-03,STL,NYI,-118,-102,2,5,0,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.5412844036697247,0.504950495049505,0.5173641257162701,1.847457627118644,1.9803921568627452
2022-11-03,TBL,CAR,-116,-105,3,4,0,20222023,Carolina Hurricanes highest moneyline 2022-23,statmuse,0.5370370370370371,0.5121951219512195,0.5118381403357727,1.8620689655172413,1.9523809523809523
2022-11-03,VAN,ANA,-174,145,8,5,1,20222023,Vancouver Canucks lowest moneyline 2022-23,statmuse,0.635036496350365,0.40816326530612246,0.6087391118092246,1.5747126436781609,2.45
2022-11-03,WPG,MTL,-211,175,3,2,1,20222023,Winnipeg Jets lowest moneyline 2022-23,statmuse,0.6784565916398714,0.36363636363636365,0.6510518934081346,1.4739336492890995,2.75
2022-11-04,CAR,BUF,-206,171,5,3,1,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.673202614379085,0.36900369003690037,0.6459398792030175,1.4854368932038835,2.71
2022-11-04,COL,CBJ,-261,211,6,3,1,20222023,Colorado Avalanche lowest moneyline 2022-23,statmuse,0.7229916897506925,0.3215434083601286,0.692166008646639,1.3831417624521074,3.11
2022-11-05,CBJ,COL,219,-268,1,5,0,20222023,Colorado Avalanche lowest moneyline 2022-23,statmuse,0.31347962382445144,0.7282608695652174,0.30091911163444873,3.19,1.373134328358209
