game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2025-10-20,CGY,WPG,115,-138,1,2,0,Winnipeg Jets lowest moneyline this season,statmuse,0.46511627906976744,0.5798319327731093,0.44510940714419295,2.15,1.7246376811594204
2025-10-20,MTL,BUF,-149,125,4,2,1,Buffalo Sabres highest moneyline this season,statmuse,0.5983935742971888,0.4444444444444444,0.5738125802310654,1.6711409395973154,2.25
2025-10-20,NYR,MIN,-160,135,1,3,0,Minnesota Wild highest moneyline this season,statmuse,0.6153846153846154,0.425531914893617,0.5911949685534592,1.625,2.35
2025-10-20,PHI,SEA,-141,119,5,2,1,Philadelphia Flyers lowest moneyline this season,statmuse,0.5850622406639004,0.45662100456621,0.5616508121282673,1.7092198581560285,2.19
2025-10-20,VGK,CAR,-112,-108,4,1,1,Carolina Hurricanes highest moneyline this season,statmuse,0.5283018867924528,0.5192307692307693,0.5043297540699688,1.8928571428571428,1.925925925925926
2025-10-21,BOS,FLA,134,-161,3,4,0,Florida Panthers lowest moneyline this season,statmuse,0.42735042735042733,0.6168582375478927,0.40925769122212813,2.34,1.62111801242236
2025-10-21,DAL,CBJ,-188,156,1,5,0,Columbus Blue Jackets highest moneyline this season,statmuse,0.6527777777777778,0.390625,0.6256239600665559,1.5319148936170213,2.56
2025-10-21,NSH,ANA,-138,116,2,5,0,Nashville Predators lowest moneyline this season,statmuse,0.5798319327731093,0.46296296296296297,0.55603641247575,1.7246376811594204,2.16
2025-10-21,NYI,SJS,-219,180,4,3,1,New York Islanders lowest moneyline this season,statmuse,0.6865203761755486,0.35714285714285715,0.6577987556318386,1.45662100456621,2.8
2025-10-21,OTT,EDM,111,-132,2,3,0,Ottawa Senators highest moneyline this season,statmuse,0.47393364928909953,0.5689655172413793,0.45443861161168997,2.1100000000000003,1.7575757575757576
2025-10-21,PIT,VAN,-109,-111,5,1,1,Vancouver Canucks lowest moneyline this season,statmuse,0.5215311004784688,0.5260663507109005,0.4978354041300489,1.9174311926605505,1.900900900900901
2025-10-21,STL,LAK,-125,105,1,2,0,St. Louis Blues lowest moneyline this season,statmuse,0.5555555555555556,0.4878048780487805,0.5324675324675325,1.8,2.05
2025-10-21,UTA,COL,129,-154,4,3,1,Colorado Avalanche highest moneyline this season,statmuse,0.4366812227074236,0.6062992125984252,0.41868591962549045,2.29,1.6493506493506493
2025-10-21,WSH,SEA,-286,231,4,1,1,Seattle Kraken highest moneyline this season,statmuse,0.7409326424870466,0.3021148036253776,0.7103537286329596,1.3496503496503496,3.31
2025-10-22,CGY,MTL,-107,-112,1,2,0,Calgary Flames lowest moneyline this season,statmuse,0.5169082125603864,0.5283018867924528,0.49454957704717883,1.9345794392523366,1.8928571428571428
2025-10-23,BOS,ANA,-116,-104,5,7,0,Boston Bruins lowest moneyline this season,statmuse,0.5370370370370371,0.5098039215686274,0.5130072840790842,1.8620689655172413,1.9615384615384617
2025-10-23,COL,CAR,-136,114,4,5,0,Carolina Hurricanes highest moneyline this season,statmuse,0.576271186440678,0.4672897196261682,0.5522161505768063,1.7352941176470589,2.1399999999999997
2025-10-23,DAL,LAK,-138,116,2,3,0,Los Angeles Kings highest moneyline this season,statmuse,0.5798319327731093,0.46296296296296297,0.55603641247575,1.7246376811594204,2.16
2025-10-23,EDM,MTL,-231,189,6,5,1,Edmonton Oilers lowest moneyline this season,statmuse,0.6978851963746223,0.3460207612456747,0.6685326310097238,1.432900432900433,2.8899999999999997
2025-10-23,FLA,PIT,-198,164,3,5,0,Florida Panthers lowest moneyline this season,statmuse,0.6644295302013423,0.3787878787878788,0.6369041816941223,1.5050505050505052,2.6399999999999997
2025-10-23,NSH,VAN,-120,100,2,1,1,Nashville Predators lowest moneyline this season,statmuse,0.5454545454545454,0.5,0.5217391304347826,1.8333333333333335,2.0
2025-10-23,NYI,DET,-134,113,7,2,1,Detroit Red Wings highest moneyline this season,statmuse,0.5726495726495726,0.4694835680751174,0.5494975164606677,1.7462686567164178,2.13
2025-10-23,NYR,SJS,-292,233,5,6,0,New York Rangers lowest moneyline this season,statmuse,0.7448979591836735,0.3003003003003003,0.7126858014013896,1.3424657534246576,3.33
2025-10-23,STL,UTA,-117,-103,4,7,0,St. Louis Blues lowest moneyline this season,statmuse,0.5391705069124424,0.5073891625615764,0.5151837230488916,1.8547008547008548,1.970873786407767
2025-10-23,TBL,CHI,-329,260,2,3,0,Chicago Blackhawks highest moneyline this season,statmuse,0.7668997668997669,0.2777777777777778,0.7341018966158424,1.303951367781155,3.6
2025-10-23,WPG,SEA,-219,180,0,3,0,Seattle Kraken highest moneyline this season,statmuse,0.6865203761755486,0.35714285714285715,0.6577987556318386,1.45662100456621,2.8
2025-10-24,BUF,TOR,104,-125,5,3,1,Toronto Maple Leafs lowest moneyline this season,statmuse,0.49019607843137253,0.5555555555555556,0.46874999999999994,2.04,1.8
2025-10-24,NJD,SJS,-377,297,3,1,1,New Jersey Devils lowest moneyline this season,statmuse,0.790356394129979,0.2518891687657431,0.7583207089259205,1.2652519893899203,3.97
2025-10-24,WPG,CGY,-136,113,5,3,1,Winnipeg Jets lowest moneyline this season,statmuse,0.576271186440678,0.4694835680751174,0.551057677674631,1.7352941176470589,2.13
2025-10-25,BOS,COL,168,-203,3,2,1,Boston Bruins highest moneyline this season,statmuse,0.373134328358209,0.66996699669967,0.35771628258405747,2.6799999999999997,1.4926108374384237
2025-10-25,DAL,CAR,-123,104,3,2,1,Carolina Hurricanes highest moneyline this season,statmuse,0.5515695067264574,0.49019607843137253,0.5294564483457124,1.8130081300813008,2.04
2025-10-25,NSH,LAK,133,-158,5,4,1,Los Angeles Kings lowest moneyline this season,statmuse,0.4291845493562232,0.6124031007751938,0.41204842367521644,2.33,1.6329113924050633
2025-10-25,PHI,NYI,-118,-102,4,3,1,Philadelphia Flyers lowest moneyline this season,statmuse,0.5412844036697247,0.504950495049505,0.5173641257162701,1.847457627118644,1.9803921568627452
2025-10-25,SEA,EDM,146,-175,3,2,1,Edmonton Oilers lowest moneyline this season,statmuse,0.4065040650406504,0.6363636363636364,0.3897944720056697,2.46,1.5714285714285714
2025-10-25,TBL,ANA,-192,160,4,3,1,Anaheim Ducks highest moneyline this season,statmuse,0.6575342465753424,0.38461538461538464,0.6309403437815976,1.5208333333333335,2.6
2025-10-25,TOR,BUF,-141,118,4,3,1,Buffalo Sabres highest moneyline this season,statmuse,0.5850622406639004,0.45871559633027525,0.560523724424669,1.7092198581560285,2.1799999999999997
2025-10-25,VAN,MTL,-108,-111,3,4,0,Vancouver Canucks lowest moneyline this season,statmuse,0.5192307692307693,0.5260663507109005,0.49673031650536237,1.925925925925926,1.900900900900901
2025-10-25,WSH,OTT,-126,106,1,7,0,Ottawa Senators highest moneyline this season,statmuse,0.5575221238938053,0.4854368932038835,0.5345580360820495,1.7936507936507935,2.06
2025-10-26,CGY,NYR,113,-134,5,1,1,New York Rangers lowest moneyline this season,statmuse,0.4694835680751174,0.5726495726495726,0.4505024835393324,2.13,1.7462686567164178
2025-10-26,CHI,LAK,137,-162,1,3,0,Los Angeles Kings lowest moneyline this season,statmuse,0.4219409282700422,0.6183206106870229,0.40561042821314675,2.37,1.617283950617284
2025-10-26,MIN,SJS,-189,157,5,6,0,Minnesota Wild lowest moneyline this season,statmuse,0.6539792387543253,0.38910505836575876,0.6269668142449628,1.529100529100529,2.5700000000000003
2025-10-26,NJD,COL,-130,109,4,3,1,Colorado Avalanche highest moneyline this season,statmuse,0.5652173913043478,0.4784688995215311,0.5415587004185769,1.7692307692307692,2.09
2025-10-26,TBL,VGK,-135,115,2,1,1,Vegas Golden Knights highest moneyline this season,statmuse,0.574468085106383,0.46511627906976744,0.552594002855783,1.7407407407407407,2.15
2025-10-26,WPG,UTA,-155,130,2,3,0,Utah Mammoth highest moneyline this season,statmuse,0.6078431372549019,0.43478260869565216,0.5829926410466066,1.6451612903225805,2.3
2025-10-27,OTT,BOS,-174,145,7,2,1,Boston Bruins highest moneyline this season,statmuse,0.635036496350365,0.40816326530612246,0.6087391118092246,1.5747126436781609,2.45
2025-10-27,PIT,STL,-105,-115,6,3,1,St. Louis Blues lowest moneyline this season,statmuse,0.5121951219512195,0.5348837209302325,0.4891657638136511,1.9523809523809523,1.8695652173913042
2025-10-28,BOS,NYI,127,-153,5,2,1,New York Islanders lowest moneyline this season,statmuse,0.44052863436123346,0.6047430830039525,0.42144891805900286,2.27,1.65359477124183
